0	0.000000	4244
1	5324.419983	4311
2	5697.686938	279
3	9629.502804	4026
4	10547.688372	739
5	14391.258974	4717
6	18523.051649	4287
7	19524.873262	3268
8	21777.549153	3912
9	22117.073013	3417
10	28064.695359	966
11	28576.112278	2849
12	33963.279684	2620
13	34236.728550	4580
14	35293.547586	1701
15	38709.330216	3710
16	39812.611892	3419
17	39897.988105	1223
18	43244.800529	2120
19	46720.084641	374
20	48050.207700	1052
21	51132.050455	4709
22	54080.531219	543
23	58215.771787	3809
24	65080.580477	4211
25	66777.194347	677
26	70779.658917	2283
27	75090.693907	1230
28	76201.011564	829
29	83231.926152	4339
30	83610.938172	1161
31	88826.169021	2588
32	91710.819992	2825
33	96595.694287	4826
34	97440.947553	2325
35	97700.215930	3427
36	98824.946416	3033
37	103534.641943	1335
38	106874.114056	4491
39	107125.602446	2694
40	109741.205760	3483
41	111775.790538	4520
42	118784.598102	1421
43	124635.322113	1888
44	130970.373992	586
45	132849.900752	3503
46	134408.543872	3508
47	134668.159324	2053
48	141065.019358	492
49	145724.832200	2649
50	147230.116899	1023
51	151399.401050	3261
52	151816.843562	1294
53	157172.073240	4829
54	158364.915481	344
55	159271.314537	618
56	160689.815059	1053
57	164065.033972	4316
58	168122.620267	4204
59	176779.428724	631
60	181680.302659	128
61	184935.060297	262
62	185212.136456	3959
63	190856.228461	4583
64	191291.939811	1432
65	194739.808162	1399
66	194928.590215	519
67	196614.452918	2865
68	201731.890340	2590
69	202817.608043	4889
70	208211.367094	4523
71	211785.599678	1822
72	214906.265300	1788
73	217965.865962	1281
74	224017.032855	3168
75	235885.894923	1510
76	239213.087651	1978
77	243944.661789	2258
78	245294.289233	605
79	245468.147416	641
80	245493.370302	1768
81	246223.841648	4624
82	250390.694628	1731
83	255841.190424	4498
84	258688.318131	4259
85	262812.691421	3564
86	264521.190692	3920
87	270297.476875	896
88	270712.894670	4496
89	270741.957122	4775
90	271195.638710	3972
91	278158.810935	2833
92	281068.683551	2421
93	281098.772875	3645
94	281619.119871	2332
95	281688.506184	1190
96	283105.112466	1242
97	288279.917181	489
98	295628.340580	1568
99	303905.705281	1568
100	304031.880029	4649
101	304104.305534	3568
102	311321.519941	1984
103	311462.931322	997
104	314954.170267	497
105	315260.676132	2905
106	316134.561043	1225
107	322181.104202	2549
108	322585.131069	1188
109	322738.266786	3388
110	324044.886021	249
111	326494.741379	3974
112	339815.128825	3066
113	341743.568470	4325
114	343656.311890	726
115	344303.401651	4508
116	346316.437994	1853
117	349531.192235	661
118	353946.022900	498
119	358939.988928	2170
120	359687.169790	2302
121	359768.384038	2026
122	361268.536308	1694
123	362876.246038	1598
124	364830.306426	4427
125	370588.246391	3073
126	375016.971666	3736
127	381741.367130	3573
128	382077.452431	4603
129	383049.201817	3954
130	393097.124251	2860
131	400023.400931	2744
132	400993.083580	4460
133	401818.605463	2693
134	403901.073038	2004
135	403910.976182	4446
136	407178.477832	4367
137	408214.494160	2849
138	410057.464660	2106
139	414944.346525	3957
140	417886.288776	1161
141	418466.908843	302
142	420919.585803	4477
143	425508.801705	4201
144	425980.693879	1365
145	428227.624906	2752
146	428361.069916	4754
147	428719.770499	4188
148	435692.570395	734
